#;Programa;Senso / Pilar;Item;Descrição
1;5S;Seiri · Utilização;Somente itens necessários na área;Materiais, ferramentas e equipamentos presentes são usados na rotina da máquina; nada obsoleto ou em excesso no posto.
2;5S;Seiri · Utilização;Tratamento de itens sem uso / descarte;Lixeira próxima à atividade que está sendo executada, não transbordando.
3;5S;Seiri · Utilização;Quantidades adequadas no posto;Estoques no posto da máquina limitados ao necessário do período.
4;5S;Seiri · Utilização;Documentos e informações vigentes;ITs, procedimentos e documentos de referência da máquina estão atualizados e acessíveis no posto de trabalho.
5;5S;Seiton · Organização;Demarcações e endereços visuais;Pisos, prateleiras e bancadas ao redor da Máquina/Linha demarcados; endereços identificados e legíveis.
6;5S;Seiton · Organização;Ferramentas com local definido;Cada ferramenta tem posição própria (sombra/suporte) na máquina e retorna ao lugar após o uso.
7;5S;Seiton · Organização;Itens de uso frequente à mão;Disposição segue a frequência de uso na linha; nada exige deslocamento ou procura excessiva pelo operador.
8;5S;Seiton · Organização;Área ao redor da máquina desobstruída;Área ao redor da máquina livre de obstruções; rotas de abastecimento e descarga desobstruídas no entorno imediato da linha.
9;5S;Seiso · Limpeza;Área e equipamentos limpos;Máquina, bancadas e piso no entorno imediato sem sujeira, óleo, rebarbas ou resíduos acumulados.
10;5S;Seiso · Limpeza;Rotina de limpeza da máquina cumprida;Checklist de limpeza da máquina é visível no posto e preenchido conforme frequência definida através do FR.284 Escala de Limpeza.
11;5S;Seiso · Limpeza;Fontes de sujeira tratadas;Vazamentos e geradores de sujeira na máquina identificados e com ação corretiva em andamento (não apenas limpeza repetida). Obs. Perguntar ao operador se tem algo que gere sujeira com frequência, caso sim, pedir o numeração da Nota ao líder/supervisor.
12;5S;Seiso · Limpeza;Recursos de limpeza disponíveis e organizados;Panos, vassouras, rodos, pás e demais itens necessários identificados, em bom estado e em local padronizado e de acesso aos colaboradores do posto.
13;5S;Seiketsu · Padronização;Padrões visuais do posto;Fotos de condição-padrão e critérios claros do 'certo' visíveis no posto da máquina através do FR.285 - Condição padrão.
14;5S;Seiketsu · Padronização;Padrão de operação visível na máquina;Parâmetros técnicos de processo e configurações visíveis na máquina/linha. Pessoa pertinente consegue comparar o estado atual com o padrão definido.
15;5S;Seiketsu · Padronização;Ergonomia;Ergonomia do posto avaliada conforme mapa postural.
16;5S;Shitsuke · Disciplina;Cumprimento espontâneo dos padrões;Colaboradores seguem os padrões do 5S/SOL espontaneamente (observação direta: organização, limpeza e disciplina no posto da máquina).
17;5S;Shitsuke · Disciplina;Cumprimento das ações de auditorias anteriores;Plano de ação de auditorias anteriores realizados. (Verificar relatórios antigos)
18;5S;Shitsuke · Disciplina;Equipe conhece e participa do 5S/SOL;Operadores demonstram conhecimento do 5S/SOL (entrevista rápida no posto) e conseguem apontar participação em melhorias recentes.
19;5S;Shitsuke · Disciplina;Melhorias da linha visíveis e atualizadas;Quadro de sugestões/kaizens da linha visível no posto ; operador consegue apontar melhorias.
20;SOL;Segurança;EPIs adequados e em uso;EPIs necessários disponíveis no posto, em bom estado e usados corretamente pelos operadores da máquina.
21;SOL;Segurança;Riscos e EPIs da máquina sinalizados;Mapa de EPIs e riscos da máquina visível no posto; sinalização de perigo na máquina e entorno imediato identificada.
22;SOL;Segurança;Dispositivos de segurança ativos;Proteções, sensores e botões de emergência da máquina presentes, testados e funcionando.
23;SOL;Organização;Indicadores da linha visíveis;Indicadores da linha/máquina visíveis no posto (produção, qualidade, paradas). O operador consegue informar o status atual da máquina.
24;SOL;Organização;Fluxo de materiais na máquina claro;Fluxo de entrada/saída de materiais na máquina claro e sinalizado; operador sabe de onde vem e para onde vai cada componente.
25;SOL;Organização;IT da máquina acessível e seguida;Instrução de Trabalho (IT) da máquina acessível no posto e efetivamente seguida pelo operador; parâmetros de processo visíveis e dentro da faixa.
26;SOL;Limpeza & Luz;Ambiente limpo, iluminado e ventilado;Área da máquina limpa, com iluminação adequada e conforto para trabalhar. Obs: na Tampografia, não avaliar ventilação (ventiladores atrapalham o processo produtivo).
27;SOL;Limpeza & Luz;Máquina e Ferramentas Limpas;Ferramentas de uso diário limpas e sem graxa/sujeira acumulada.
